,date,Total_reported,Deceased,Hospital_admission,people_fully_vaccinated,people_vaccinated,Aflassing evenement,Lockdown,Avondklok,Scholen dicht,Sluiten horeca,Total_reported_daily,Deceased_daily,Hospital_admission_daily
0,15-03-2020,1135.0,19.0,162.0,0.0,0.0,False,False,False,False,True,,,
1,22-03-2020,4204.0,180.0,988.0,0.0,0.0,False,False,False,True,True,3069.0,161.0,826.0
2,29-03-2020,10866.0,771.0,3483.0,0.0,0.0,False,False,False,True,True,6662.0,591.0,2495.0
3,04-05-2020,17851.0,1768.0,6874.0,0.0,0.0,False,False,False,False,True,6985.0,997.0,3391.0
4,04-12-2020,25587.0,2737.0,8582.0,0.0,0.0,False,False,False,False,False,7736.0,969.0,1708.0
5,19-04-2020,32655.0,3684.0,9704.0,0.0,0.0,False,False,False,False,False,7068.0,947.0,1122.0
6,26-04-2020,37845.0,4475.0,10456.0,0.0,0.0,False,False,False,False,False,5190.0,791.0,752.0
7,05-03-2020,40571.0,5056.0,10988.0,0.0,0.0,False,False,False,False,False,2726.0,581.0,532.0
8,05-10-2020,42627.0,5440.0,11307.0,0.0,0.0,False,False,False,False,False,2056.0,384.0,319.0
9,17-05-2020,43995.0,5680.0,11552.0,0.0,0.0,False,False,False,False,False,1368.0,240.0,245.0
10,24-05-2020,45236.0,5822.0,11672.0,0.0,0.0,False,False,False,False,False,1241.0,142.0,120.0
11,31-05-2020,46442.0,5956.0,11735.0,0.0,0.0,False,False,False,False,False,1206.0,134.0,63.0
12,06-07-2020,47574.0,6013.0,11789.0,0.0,0.0,False,False,False,False,False,1132.0,57.0,54.0
13,14-06-2020,48783.0,6059.0,11828.0,0.0,0.0,False,False,False,False,False,1209.0,46.0,39.0
14,21-06-2020,49593.0,6090.0,11849.0,0.0,0.0,False,False,False,False,False,810.0,31.0,21.0
15,28-06-2020,50147.0,6105.0,11871.0,0.0,0.0,False,False,False,False,False,554.0,15.0,22.0
16,07-05-2020,50621.0,6127.0,11884.0,0.0,0.0,False,False,False,False,False,474.0,22.0,13.0
17,07-12-2020,51022.0,6137.0,11893.0,0.0,0.0,False,False,False,False,False,401.0,10.0,9.0
18,19-07-2020,51725.0,6136.0,11898.0,0.0,0.0,False,False,False,False,False,703.0,-1.0,5.0
19,26-07-2020,52946.0,6140.0,11908.0,0.0,0.0,False,False,False,False,False,1221.0,4.0,10.0
20,08-02-2020,55098.0,6149.0,11943.0,0.0,0.0,False,False,False,False,False,2152.0,9.0,35.0
21,08-09-2020,58564.0,6157.0,11978.0,0.0,0.0,False,False,False,False,False,3466.0,8.0,35.0
22,16-08-2020,63002.0,6172.0,12033.0,0.0,0.0,False,False,False,False,False,4438.0,15.0,55.0
23,23-08-2020,66554.0,6200.0,12107.0,0.0,0.0,False,False,False,False,False,3552.0,28.0,74.0
24,30-08-2020,70140.0,6224.0,12166.0,0.0,0.0,False,False,False,False,False,3586.0,24.0,59.0
25,09-06-2020,74787.0,6243.0,12210.0,0.0,0.0,False,False,False,False,False,4647.0,19.0,44.0
26,13-09-2020,82099.0,6254.0,12283.0,0.0,0.0,False,False,False,False,False,7312.0,11.0,73.0
27,20-09-2020,93778.0,6279.0,12409.0,0.0,0.0,False,False,False,False,False,11679.0,25.0,126.0
28,27-09-2020,111626.0,6374.0,12626.0,0.0,0.0,False,False,False,False,False,17848.0,95.0,217.0
29,10-04-2020,135892.0,6454.0,12881.0,0.0,0.0,False,False,False,False,False,24266.0,80.0,255.0
30,10-11-2020,174653.0,6584.0,13301.0,0.0,0.0,False,False,False,False,False,38761.0,130.0,420.0
31,18-10-2020,228234.0,6751.0,13852.0,0.0,0.0,True,False,False,False,True,53581.0,167.0,551.0
32,25-10-2020,291254.0,7046.0,14553.0,0.0,0.0,True,False,False,False,True,63020.0,295.0,701.0
33,11-01-2020,359861.0,7434.0,15242.0,0.0,0.0,True,False,False,False,True,68607.0,388.0,689.0
34,11-08-2020,410065.0,8004.0,15936.0,0.0,0.0,True,False,False,False,True,50204.0,570.0,694.0
35,15-11-2020,447871.0,8486.0,16503.0,0.0,0.0,True,False,False,False,True,37806.0,482.0,567.0
36,22-11-2020,484648.0,8891.0,17078.0,0.0,0.0,True,False,False,False,True,36777.0,405.0,575.0
37,29-11-2020,518910.0,9349.0,17566.0,0.0,0.0,True,False,False,False,True,34262.0,458.0,488.0
38,12-06-2020,557224.0,9687.0,17974.0,0.0,0.0,True,False,False,False,True,38314.0,338.0,408.0
39,13-12-2020,613487.0,10048.0,18477.0,0.0,0.0,True,False,False,False,True,56263.0,361.0,503.0
40,20-12-2020,689705.0,10491.0,19068.0,0.0,0.0,True,True,False,True,True,76218.0,443.0,591.0
41,27-12-2020,762985.0,10998.0,19643.0,0.0,0.0,True,True,False,True,True,73280.0,507.0,575.0
42,01-03-2021,821163.0,11612.0,20318.0,0.0,0.0,True,True,False,True,True,58178.0,614.0,675.0
43,01-10-2021,872847.0,12361.0,20910.0,0.0,0.0,True,True,False,True,True,51684.0,749.0,592.0
44,17-01-2021,912554.0,13006.0,21405.0,0.0,76965.0,True,True,False,True,True,39707.0,645.0,495.0
45,24-01-2021,948933.0,13540.0,21954.0,0.0,166329.0,True,True,True,True,True,36379.0,534.0,549.0
46,31-01-2021,978475.0,13998.0,22455.0,2431.0,348895.0,True,True,True,True,True,29542.0,458.0,501.0
47,02-07-2021,1005760.0,14403.0,22916.0,26436.0,544837.0,True,True,True,True,True,27285.0,405.0,461.0
48,14-02-2021,1029284.0,14816.0,23354.0,97570.0,690507.0,True,True,True,True,True,23524.0,413.0,438.0
49,21-02-2021,1056639.0,15217.0,23803.0,164243.0,873678.0,True,True,True,True,True,27355.0,401.0,449.0
50,28-02-2021,1088690.0,15563.0,24228.0,277416.0,1105165.0,True,True,True,True,True,32051.0,346.0,425.0
51,03-07-2021,1120075.0,15833.0,24656.0,361848.0,1314899.0,True,True,True,False,True,31385.0,270.0,428.0
52,14-03-2021,1157192.0,16069.0,25154.0,449488.0,1512380.0,True,True,True,False,True,37117.0,236.0,498.0
53,21-03-2021,1201545.0,16275.0,25607.0,577060.0,1599299.0,True,True,True,False,True,44353.0,206.0,453.0
54,28-03-2021,1252437.0,16465.0,26119.0,675678.0,1798759.0,True,True,True,False,True,50892.0,190.0,512.0
55,04-04-2021,1302146.0,16622.0,26617.0,785234.0,2140283.0,True,True,True,False,True,49709.0,157.0,498.0
56,04-11-2021,1350665.0,16771.0,27239.0,914273.0,2654499.0,True,True,True,False,True,48519.0,149.0,622.0
57,18-04-2021,1403833.0,16916.0,27749.0,1005435.0,3369606.0,True,True,True,False,True,53168.0,145.0,510.0
58,25-04-2021,1461137.0,17049.0,28299.0,1132552.0,3904664.0,True,True,True,False,True,57304.0,133.0,550.0
59,05-02-2021,1507615.0,17172.0,28784.0,1264809.0,4498980.0,True,False,False,False,True,46478.0,123.0,485.0
60,05-09-2021,1560022.0,17323.0,29315.0,1585379.0,5069137.0,True,False,False,False,True,52407.0,151.0,531.0
61,16-05-2021,1598164.0,17449.0,29765.0,1930338.0,5761367.0,True,False,False,False,True,38142.0,126.0,450.0
62,23-05-2021,1626232.0,17544.0,30119.0,2469276.0,6271338.0,True,False,False,False,True,28068.0,95.0,354.0
63,30-05-2021,1647418.0,17621.0,30376.0,3085654.0,6762824.0,True,False,False,False,True,21186.0,77.0,257.0
64,06-06-2021,1663050.0,17678.0,30573.0,3836966.0,7343146.0,True,False,False,False,False,15632.0,57.0,197.0
65,13-06-2021,1672744.0,17711.0,30696.0,4527070.0,8360991.0,True,False,False,False,False,9694.0,33.0,123.0
66,20-06-2021,1678983.0,17726.0,30796.0,5220149.0,9105103.0,True,False,False,False,False,6239.0,15.0,100.0
67,27-06-2021,1683271.0,17741.0,30853.0,5919328.0,9922464.0,False,False,False,False,False,4288.0,15.0,57.0
68,07-04-2021,1689106.0,17756.0,30892.0,6584339.0,10863620.0,False,False,False,False,False,5835.0,15.0,39.0
69,07-11-2021,1728438.0,17765.0,30924.0,7071137.0,11693924.0,False,False,False,False,False,39332.0,9.0,32.0
70,18-07-2021,1798570.0,17776.0,31014.0,7960019.0,11920675.0,False,False,False,False,False,70132.0,11.0,90.0
71,25-07-2021,1843521.0,17800.0,31166.0,8624639.0,12115590.0,False,False,False,False,False,44951.0,24.0,152.0
72,08-01-2021,1867815.0,17829.0,31377.0,9287868.0,12270541.0,False,False,False,False,False,24294.0,29.0,211.0
73,08-08-2021,1885805.0,17869.0,31558.0,10029656.0,12362493.0,False,False,False,False,False,17990.0,40.0,181.0
74,15-08-2021,1901900.0,17909.0,31718.0,10682234.0,12438993.0,False,False,False,False,False,16095.0,40.0,160.0
75,22-08-2021,1918769.0,17953.0,31905.0,10910159.0,12511153.0,False,False,False,False,False,16869.0,44.0,187.0
76,29-08-2021,1936572.0,17996.0,32098.0,11117613.0,12574903.0,False,False,False,False,False,17803.0,43.0,193.0
77,09-05-2021,1954233.0,18037.0,32278.0,11278306.0,12627623.0,False,False,False,False,False,17661.0,41.0,180.0
78,09-12-2021,1970914.0,18069.0,32467.0,11363644.0,12675085.0,False,False,False,False,False,16681.0,32.0,189.0
79,19-09-2021,1984915.0,18114.0,32608.0,11450440.0,12743648.0,False,False,False,False,False,14001.0,45.0,141.0
80,26-09-2021,1996498.0,18150.0,32725.0,11534395.0,12814352.0,False,False,False,False,False,11583.0,36.0,117.0
81,10-03-2021,2008024.0,18182.0,32851.0,11606866.0,12879160.0,False,False,False,False,False,11526.0,32.0,126.0
82,10-10-2021,2023691.0,18204.0,32970.0,11670631.0,12921560.0,False,False,False,False,False,15667.0,22.0,119.0
83,17-10-2021,2047711.0,18248.0,33121.0,11731736.0,12953946.0,False,False,False,False,False,24020.0,44.0,151.0
84,24-10-2021,2082563.0,18314.0,33376.0,11785475.0,12989097.0,False,False,False,False,False,34852.0,66.0,255.0
